Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2005-Feb,1,Bhudeo Choudhary,47625,42.00%,Janata Dal (United),Kahalgaon,155
2005-Feb,2,Naresh Das,37834,33.40%,Communist Party Of India,Kahalgaon,155
2005-Feb,3,Jawahar Lal Paswan,5505,4.90%,Lok Jan Shakti Party,Kahalgaon,155
2005-Feb,4,Ram Rup Harijan,5398,4.80%,Independent,Kahalgaon,155
2005-Feb,5,Brahamdeo Rajak,5107,4.50%,Jharkhand Mukti Morcha,Kahalgaon,155
2005-Feb,6,Rajesh Kumar,3755,3.30%,Independent,Kahalgaon,155
2005-Feb,7,Sachida Nand Paswan,2604,2.30%,Independent,Kahalgaon,155
2005-Feb,8,Manik Das,1907,1.70%,Bahujan Samaj Party,Kahalgaon,155
2005-Feb,9,Bihari Lal Paswan,1449,1.30%,Independent,Kahalgaon,155
2005-Feb,10,Geeta Shankar,1340,1.20%,Independent,Kahalgaon,155
2005-Feb,11,Bhajnarayan Das,898,0.80%,Akhand Jharkhand People's Front,Kahalgaon,155
2005-Feb,1,Jawed Iqbal Ansari,30886,29.50%,Rashtriya Janata Dal,Bhagalpur,156
2005-Feb,2,Ram Narayan Mandal,28982,27.70%,Bharatiya Janta Party,Bhagalpur,156
2005-Feb,3,Rajendra Yadav,14658,14.00%,Bahujan Samaj Party,Bhagalpur,156
2005-Feb,4,Avinash Yadav,5812,5.60%,Lok Jan Shakti Party,Bhagalpur,156
2005-Feb,5,Ranvir Yadav,4649,4.40%,Samajwadi Party,Bhagalpur,156
2005-Feb,6,Ashok Kumar Singh,3959,3.80%,Jharkhand Mukti Morcha,Bhagalpur,156
2005-Feb,7,Manoj Singh,3059,2.90%,Independent,Bhagalpur,156
2005-Feb,8,Laxmi Devi,2629,2.50%,Independent,Bhagalpur,156
2005-Feb,9,Bindeshwari Yadav,2576,2.50%,Independent,Bhagalpur,156
2005-Feb,10,Ghanshyam Mandal,2059,2.00%,Independent,Bhagalpur,156
2005-Feb,11,Upendra Pd. Chau.,1663,1.60%,Independent,Bhagalpur,156
2005-Feb,12,Bharat Das,1207,1.20%,Independent,Bhagalpur,156
2005-Feb,13,Manoj Kumar Sharma,735,0.70%,Shiv Sena,Bhagalpur,156
2005-Feb,14,Kundan Kumar Rao,635,0.60%,Independent,Bhagalpur,156
2005-Feb,15,Ashok Kumar Khetan,607,0.60%,Independent,Bhagalpur,156
2005-Feb,16,Pramod Paswan,604,0.60%,Independent,Bhagalpur,156
2005-Feb,1,Ramdeo Yadav,25405,27.80%,Rashtriya Janata Dal,Sultanganj,157
2005-Feb,2,Janardan Manjhi,14900,16.30%,Janata Dal (United),Sultanganj,157
2005-Feb,3,Kamlakant Yadav,11619,12.70%,Bahujan Samaj Party,Sultanganj,157
2005-Feb,4,Vilakshan Ravidas,10701,11.70%,Independent,Sultanganj,157
2005-Feb,5,Sushil Kumar Yadav,6665,7.30%,Independent,Sultanganj,157
2005-Feb,6,Manoj Azad,4937,5.40%,Samata Party,Sultanganj,157
2005-Feb,7,Shailendra Kumar,3007,3.30%,Jharkhand Mukti Morcha,Sultanganj,157
2005-Feb,8,Sheela Singh,2751,3.00%,Lok Jan Shakti Party,Sultanganj,157
2005-Feb,9,Lakshmi Paswan,2270,2.50%,Independent,Sultanganj,157
2005-Feb,10,Chandra Moleshwar Singh Lalan,1772,1.90%,Independent,Sultanganj,157
2005-Feb,11,Amrendra Kumar Pandit,1322,1.40%,Lokpriya Samaj Party,Sultanganj,157
2005-Feb,12,Singheshwar Marandi,1231,1.30%,Akhand Jharkhand People's Front,Sultanganj,157
2005-Feb,13,Dinesh Kumar Singh,1058,1.20%,Independent,Sultanganj,157
2005-Feb,14,Kedar Pandit,1019,1.10%,Independent,Sultanganj,157
2005-Feb,15,Mahadeo Yadav,875,1.00%,Independent,Sultanganj,157
2005-Feb,16,Sikandar Murmu,826,0.90%,Independent,Sultanganj,157
2005-Feb,17,Krit Narayan Paswan,576,0.60%,Independent,Sultanganj,157
2005-Feb,18,Ashok Rajak,322,0.40%,Independent,Sultanganj,157
2005-Feb,19,Ashish Kumar,301,0.30%,Independent,Sultanganj,157
2005-Feb,1,Rajkishore Prasad Alias Pappu Yadav,27356,24.30%,Lok Jan Shakti Party,Nathnagar,158
2005-Feb,2,Janardan Yadav,26567,23.60%,Rashtriya Janata Dal,Nathnagar,158
2005-Feb,3,Manoj Yadav,26331,23.40%,Bharatiya Janta Party,Nathnagar,158
2005-Feb,4,Satya Narayan Yadav,10270,9.10%,Jharkhand Mukti Morcha,Nathnagar,158
2005-Feb,5,Paltan Prasad Yadav,9462,8.40%,Independent,Nathnagar,158
2005-Feb,6,Hiralal Mandal,5636,5.00%,Bahujan Samaj Party,Nathnagar,158
2005-Feb,7,Naresh Das,2841,2.50%,Independent,Nathnagar,158
2005-Feb,8,Lukas Soren,2111,1.90%,Akhand Jharkhand People's Front,Nathnagar,158
2005-Feb,9,Umakant Yadav,1304,1.20%,Independent,Nathnagar,158
2005-Feb,10,Upendra Pramanik,894,0.80%,Independent,Nathnagar,158
2005-Feb,1,Abhay Singh,27948,26.70%,Lok Jan Shakti Party,Amarpur,159
2005-Feb,2,Phalguni Prasad Yadav,23329,22.30%,Bharatiya Janta Party,Amarpur,159
2005-Feb,3,Vijay Singh,20818,19.90%,Rashtriya Janata Dal,Amarpur,159
2005-Feb,4,Onkar Nath Burnwal,14236,13.60%,Jharkhand Mukti Morcha,Amarpur,159
2005-Feb,5,Brahmadeo Mandal,6844,6.50%,Bahujan Samaj Party,Amarpur,159
2005-Feb,6,Rameshwar Yadav,4361,4.20%,Samajwadi Party,Amarpur,159
2005-Feb,7,Shankar Pd. Swarnkar,2864,2.70%,Independent,Amarpur,159
2005-Feb,8,Juliana Soren,1617,1.50%,Akhand Jharkhand People's Front,Amarpur,159
2005-Feb,9,Moniruddin,1397,1.30%,Independent,Amarpur,159
2005-Feb,10,Rajesh Yadav,1279,1.20%,Independent,Amarpur,159
2005-Feb,1,Damodar Rawat,26184,28.10%,Janata Dal (United),Dhauraiya (SC),160
2005-Feb,2,Rashid Ahmad,21254,22.80%,Rashtriya Janata Dal,Dhauraiya (SC),160
2005-Feb,3,Poonam Devi,19332,20.70%,Indian National Congress,Dhauraiya (SC),160
2005-Feb,4,Vinod Prasad Yadav,6676,7.20%,Lok Jan Shakti Party,Dhauraiya (SC),160
2005-Feb,5,Dharamdeo Yadav,5557,6.00%,Independent,Dhauraiya (SC),160
2005-Feb,6,Naresh Kumar,3032,3.30%,Jharkhand Mukti Morcha,Dhauraiya (SC),160
2005-Feb,7,Sharvan Singh,2204,2.40%,Independent,Dhauraiya (SC),160
2005-Feb,8,Pradeep Kumar Singh,2154,2.30%,Akhand Jharkhand People's Front,Dhauraiya (SC),160
2005-Feb,9,Anil Kumar,1858,2.00%,Independent,Dhauraiya (SC),160
2005-Feb,10,Raju Yadav,1565,1.70%,Bahujan Samaj Party,Dhauraiya (SC),160
2005-Feb,11,Brahmdeo Yadav,1182,1.30%,Independent,Dhauraiya (SC),160
2005-Feb,12,Kapil Deo Mandal,971,1.00%,Independent,Dhauraiya (SC),160
2005-Feb,13,Sham Prabhu Sharan Singh,678,0.70%,Independent,Dhauraiya (SC),160
2005-Feb,14,Ashok Kumar,574,0.60%,Independent,Dhauraiya (SC),160
2005-Feb,1,Shakuni Choudhary,34643,37.30%,Rashtriya Janata Dal,Banka,161
2005-Feb,2,Rajeev Kumar Singh,28829,31.10%,Janata Dal (United),Banka,161
2005-Feb,3,Sanjay Kumar,17863,19.30%,Independent,Banka,161
2005-Feb,4,Md. Rustam,3295,3.60%,Lok Jan Shakti Party,Banka,161
2005-Feb,5,Anil Kumar Singh,2612,2.80%,Independent,Banka,161
2005-Feb,6,Shashikant Yadav,1399,1.50%,Independent,Banka,161
2005-Feb,7,Sanjay Kumar Singh,1156,1.30%,Bahujan Samaj Party,Banka,161
2005-Feb,8,Bharat Mandal,840,0.90%,Independent,Banka,161
2005-Feb,9,Mahendra Pd. Choudhary,785,0.90%,Independent,Banka,161
2005-Feb,10,Badrinath Panjiyara,525,0.60%,Independent,Banka,161
2005-Feb,11,Rita Devi,451,0.50%,Samajwadi Party,Banka,161
2005-Feb,12,Priyam Devi,392,0.40%,Apna Dal,Banka,161
2005-Feb,1,Shanti Devi,58052,55.20%,Rashtriya Janata Dal,Katoria (ST),162
2005-Feb,2,Ananta Kumar Satyarthi,20991,20.00%,Janata Dal (United),Katoria (ST),162
2005-Feb,3,Shamsher Jang Bahadur Singh,16190,15.40%,Lok Jan Shakti Party,Katoria (ST),162
2005-Feb,4,Anita Devi,3633,3.50%,Independent,Katoria (ST),162
2005-Feb,5,Om Prakash Sahni,2123,2.00%,Bahujan Samaj Party,Katoria (ST),162
2005-Feb,6,Ashok Yadav,1574,1.50%,Independent,Katoria (ST),162
2005-Feb,7,Suman Paswan,1553,1.50%,Independent,Katoria (ST),162
2005-Feb,8,Devendra Raghav,1035,1.00%,Independent,Katoria (ST),162
2005-Feb,1,Ramanand Prasad Singh,47932,44.60%,Janata Dal (United),Belhar,163
2005-Feb,2,Rakesh Kumar,46014,42.80%,Rashtriya Janata Dal,Belhar,163
2005-Feb,3,Susil Kumar,3385,3.20%,Indian National Congress,Belhar,163
2005-Feb,4,Prem Kumar,2368,2.20%,Bahujan Samaj Party,Belhar,163
2005-Feb,5,Shiv Kumar Mishra,2071,1.90%,Independent,Belhar,163
2005-Feb,6,Bullet Kumar Roy,1414,1.30%,Independent,Belhar,163
2005-Feb,7,Sushil Chandra Singh,1203,1.10%,Rashtriya Samanta Dal,Belhar,163
2005-Feb,8,Birendra Kumar Choudhary,836,0.80%,Independent,Belhar,163
2005-Feb,9,Rajendra Yadaw,701,0.70%,Independent,Belhar,163
2005-Feb,10,Naresh Kr. Yadav,637,0.60%,Samajwadi Party,Belhar,163
2005-Feb,11,Krishnadas Choudhary,483,0.50%,Independent,Belhar,163
2005-Feb,12,Abhi Nandan Kumar,407,0.40%,Independent,Belhar,163
2005-Feb,1,Sunita Sharma,28691,27.60%,Lok Jan Shakti Party,Tarapur,164
2005-Feb,2,Pannalal Singh 'patel',24024,23.10%,Janata Dal (United),Tarapur,164
2005-Feb,3,Satyanarayan Singh,20486,19.70%,Communist Party Of India,Tarapur,164
2005-Feb,4,Bharat Kumar Yadav,19267,18.60%,Kosi Vikas Party,Tarapur,164
2005-Feb,5,Chalitar Sada,3384,3.30%,Independent,Tarapur,164
2005-Feb,6,Mahendra Prasad Gupta,2638,2.50%,Rashtriya Lok Seva Morcha,Tarapur,164
2005-Feb,7,Shyam Sundar Mandal,2302,2.20%,Bahujan Samaj Party,Tarapur,164
2005-Feb,8,Kumod Jha,1734,1.70%,Samajwadi Janata Party (RASHTRIYA),Tarapur,164
2005-Feb,9,Subhas Chandra,1340,1.30%,Samajwadi Party,Tarapur,164
2005-Feb,1,Poonam Devi (YADAV),40317,38.40%,Lok Jan Shakti Party,Munger,165
2005-Feb,2,Chandramukhi Devi,31296,29.80%,Bharatiya Janta Party,Munger,165
2005-Feb,3,Yogendra Singh,16473,15.70%,Communist Party Of India (MARXIST),Munger,165
2005-Feb,4,Dharmendra Kumar,8115,7.70%,Independent,Munger,165
2005-Feb,5,Barsha Rani,2686,2.60%,Samajwadi Janata Party (RASHTRIYA),Munger,165
2005-Feb,6,Umesh Thakur,2019,1.90%,Rashtriya Lok Seva Morcha,Munger,165
2005-Feb,7,Md. Harun Rashid,1270,1.20%,Bahujan Samaj Party,Munger,165
2005-Feb,8,Ranjit Kumar Sah,1079,1.00%,Shiv Sena,Munger,165
2005-Feb,9,Ramgulam Sahni,1051,1.00%,Samata Party,Munger,165
2005-Feb,10,Mithilesh Chandra Mukul,731,0.70%,Samajwadi Party,Munger,165
2005-Feb,1,Pashupati Kumar Paras,39951,41.80%,Lok Jan Shakti Party,Jamalpur,166
2005-Feb,2,Mira Devi,30240,31.60%,Rashtriya Janata Dal,Jamalpur,166
2005-Feb,3,Rambrichk Sada,11143,11.70%,Janata Dal (United),Jamalpur,166
2005-Feb,4,Anita Devi,3044,3.20%,Rashtriya Lok Seva Morcha,Jamalpur,166
2005-Feb,5,Sadhna Devi,2694,2.80%,Independent,Jamalpur,166
2005-Feb,6,Binod Ram,2423,2.50%,Bahujan Samaj Party,Jamalpur,166
2005-Feb,7,Baleshwar Paswan,2422,2.50%,Samajwadi Janata Party (RASHTRIYA),Jamalpur,166
2005-Feb,8,Rajesh Kumar Sada,1301,1.40%,Independent,Jamalpur,166
2005-Feb,9,Budhan Sada,1198,1.30%,Samata Party,Jamalpur,166
2005-Feb,10,Nandan Sada,1162,1.20%,Samajwadi Party,Jamalpur,166
2005-Feb,1,Dr. Monazir Hassan,63222,57.70%,Janata Dal (United),Suryagarha,167
2005-Feb,2,Rinki Devi,23680,21.60%,Independent,Suryagarha,167
2005-Feb,3,Mausam,10990,10.00%,Rashtriya Janata Dal,Suryagarha,167
2005-Feb,4,Abhimanyu Kumar,5293,4.80%,Lok Jan Shakti Party,Suryagarha,167
2005-Feb,5,Bimal Roy,1540,1.40%,Samata Party,Suryagarha,167
2005-Feb,6,Sanjay Yadav,1424,1.30%,Independent,Suryagarha,167
2005-Feb,7,Ramdev Singh Yadav,1091,1.00%,Rashtriya Lok Dal,Suryagarha,167
2005-Feb,8,Manohar Paswan,716,0.70%,Rashtriya Lok Seva Morcha,Suryagarha,167
2005-Feb,9,Sanjay Kr. Keshri,689,0.60%,Bahujan Samaj Party,Suryagarha,167
2005-Feb,10,Dharmendra Mandal,492,0.50%,Independent,Suryagarha,167
2005-Feb,11,Babu Lal Paswan,372,0.30%,Independent,Suryagarha,167
2005-Feb,1,Shailesh Kumar,45536,49.10%,Janata Dal (United),Lakhisarai,168
2005-Feb,2,Upendra Pd. Verma,23986,25.90%,Rashtriya Janata Dal,Lakhisarai,168
2005-Feb,3,Sadhana Devi,11166,12.10%,Lok Jan Shakti Party,Lakhisarai,168
2005-Feb,4,Manoj Kumar Tanti,2342,2.50%,Independent,Lakhisarai,168
2005-Feb,5,Om Prakash Paswan,1883,2.00%,Independent,Lakhisarai,168
2005-Feb,6,Ranjit Kumar Choudhary,1649,1.80%,Independent,Lakhisarai,168
2005-Feb,7,Shivdani Singh,1575,1.70%,Samata Party,Lakhisarai,168
2005-Feb,8,Ranvir Sahni,1253,1.40%,Bahujan Samaj Party,Lakhisarai,168
2005-Feb,9,Ranjit Kumar,713,0.80%,Apna Dal,Lakhisarai,168
2005-Feb,10,Navin Kumar,688,0.70%,Independent,Lakhisarai,168
2005-Feb,11,Manoj Paswan,682,0.70%,Independent,Lakhisarai,168
2005-Feb,12,Yogesh Nandan Mandal,667,0.70%,Independent,Lakhisarai,168
2005-Feb,13,Anup Paswan,541,0.60%,Independent,Lakhisarai,168
2005-Feb,1,Prahlad Yadav,33856,37.20%,Rashtriya Janata Dal,Sheikhpura,169
2005-Feb,2,Prem Ranjan Patel,28617,31.40%,Bharatiya Janta Party,Sheikhpura,169
2005-Feb,3,Satish Kumar,15422,16.90%,Lok Jan Shakti Party,Sheikhpura,169
2005-Feb,4,Rakesh Patel,1930,2.10%,Independent,Sheikhpura,169
2005-Feb,5,Chanda Devi,1768,1.90%,Independent,Sheikhpura,169
2005-Feb,6,Anil Kumar Singh,1740,1.90%,Samajwadi Janata Party (RASHTRIYA),Sheikhpura,169
2005-Feb,7,Nago Mistiri,1535,1.70%,Independent,Sheikhpura,169
2005-Feb,8,Udaya Udit Roy,1370,1.50%,Bahujan Samaj Party,Sheikhpura,169
2005-Feb,9,Awdhesh Kumar Singh,991,1.10%,Independent,Sheikhpura,169
2005-Feb,10,Madan Mohan Ram,891,1.00%,Samata Party,Sheikhpura,169
2005-Feb,11,Chandra Deo Yadav,806,0.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Sheikhpura,169
2005-Feb,12,Manoj Kumar,774,0.90%,Independent,Sheikhpura,169
2005-Feb,13,Upendra Prasad Singh,692,0.80%,Nationalist Congress Party,Sheikhpura,169
2005-Feb,14,Abadh Kishore Prasad,687,0.80%,Independent,Sheikhpura,169
2005-Feb,1,Vijay Prakash,63611,49.30%,Rashtriya Janata Dal,Barbigha,170
2005-Feb,2,Arjun Mandal,41538,32.20%,Lok Jan Shakti Party,Barbigha,170
2005-Feb,3,Amar Kumar Bhagat,6846,5.30%,Independent,Barbigha,170
2005-Feb,4,Sushil Kumar Singh,6614,5.10%,Janata Dal (United),Barbigha,170
2005-Feb,5,Jay Narayan Rao,3946,3.10%,Bahujan Samaj Party,Barbigha,170
2005-Feb,6,Surkhab Ahmad,2179,1.70%,Independent,Barbigha,170
2005-Feb,7,Shiv Nandan Singh,1338,1.00%,Samajwadi Janata Party (RASHTRIYA),Barbigha,170
2005-Feb,8,Umesh Kumar Mandal,1238,1.00%,Sarvhara Dal,Barbigha,170
2005-Feb,9,Ashok Ram,916,0.70%,Independent,Barbigha,170
2005-Feb,10,Prem Chandra Ram,909,0.70%,Independent,Barbigha,170
2005-Feb,1,Rameshwar Paswan,64122,55.30%,Lok Jan Shakti Party,Asthawan,171
2005-Feb,2,Prayag Choudhary,32933,28.40%,Rashtriya Janata Dal,Asthawan,171
2005-Feb,3,Brahamdeo Anand Paswan,6058,5.20%,Janata Dal (United),Asthawan,171
2005-Feb,4,Deonath Das,2255,1.90%,Bahujan Samaj Party,Asthawan,171
2005-Feb,5,Karu Choudhary,1959,1.70%,Independent,Asthawan,171
2005-Feb,6,Sadhu Sharan Shail,1685,1.50%,Apna Dal,Asthawan,171
2005-Feb,7,Shivbalak Paswan,1658,1.40%,Independent,Asthawan,171
2005-Feb,8,Krishna Rajak,1258,1.10%,Samata Party,Asthawan,171
2005-Feb,9,Praphull Kumar Manjhi,1033,0.90%,Independent,Asthawan,171
2005-Feb,10,Ram Lagan Paswan,919,0.80%,Independent,Asthawan,171
2005-Feb,11,Rajni Kumari Choudhary,858,0.70%,Jharkhand Mukti Morcha,Asthawan,171
2005-Feb,12,Subhas Paswan,712,0.60%,Akhand Jharkhand People's Front,Asthawan,171
2005-Feb,13,Ram Jee Choudhary,599,0.50%,Independent,Asthawan,171
2005-Feb,1,Vijay Kumar Sinha,27554,30.50%,Bharatiya Janta Party,Biharsharif,172
2005-Feb,2,Fulena Singh,26106,28.90%,Rashtriya Janata Dal,Biharsharif,172
2005-Feb,3,Vipin Singh,16397,18.10%,Independent,Biharsharif,172
2005-Feb,4,Ashwini Kumar Sharma,11095,12.30%,Indian National Congress,Biharsharif,172
2005-Feb,5,Pinki Devi,4110,4.50%,Independent,Biharsharif,172
2005-Feb,6,Virendra Singh,1223,1.40%,Independent,Biharsharif,172
2005-Feb,7,Ramanuj Prasad Singh,879,1.00%,Samajwadi Janata Party (RASHTRIYA),Biharsharif,172
2005-Feb,8,Vinay Singh,637,0.70%,Independent,Biharsharif,172
2005-Feb,9,Mahesh Prasad Singh,543,0.60%,Bharatiya Momin Front,Biharsharif,172
2005-Feb,10,Ramanandan Mahto,415,0.50%,Independent,Biharsharif,172
2005-Feb,11,Amrendra Kumar,386,0.40%,Independent,Biharsharif,172
2005-Feb,12,Navin Kumar Singh,295,0.30%,Independent,Biharsharif,172
2005-Feb,13,Munni Devi,231,0.30%,Independent,Biharsharif,172
2005-Feb,14,Sadanand Yadav,228,0.30%,Samata Party,Biharsharif,172
2005-Feb,15,Manoj Kumar,193,0.20%,Independent,Biharsharif,172
2005-Feb,16,Ramesh Singh,192,0.20%,Independent,Biharsharif,172
2005-Feb,1,Sunila Devi,32198,37.60%,Indian National Congress,Rajgir (SC),173
2005-Feb,2,Rinku Devi,15785,18.40%,Janata Dal (United),Rajgir (SC),173
2005-Feb,3,Randhir Kumar,10185,11.90%,Independent,Rajgir (SC),173
2005-Feb,4,Shambhu Kumar,8459,9.90%,Independent,Rajgir (SC),173
2005-Feb,5,Vijay Kumar Yadav,8000,9.30%,Independent,Rajgir (SC),173
2005-Feb,6,Nageshwar Prasad Yadav,2947,3.40%,Independent,Rajgir (SC),173
2005-Feb,7,Chamak Lal Sahni,2771,3.20%,Bahujan Samaj Party,Rajgir (SC),173
2005-Feb,8,Sudama Prasad,1983,2.30%,Independent,Rajgir (SC),173
2005-Feb,9,Surendra Raum,1297,1.50%,Samata Party,Rajgir (SC),173
2005-Feb,10,Shankar Prasad,846,1.00%,Independent,Rajgir (SC),173
2005-Feb,11,Shulekha Devi,653,0.80%,Independent,Rajgir (SC),173
2005-Feb,12,Kaushlendra Kumar,515,0.60%,Independent,Rajgir (SC),173
2005-Feb,1,Ashok Chaudhary,40319,54.40%,Indian National Congress,Islampur,174
2005-Feb,2,Mithalesh Kumar,27348,36.90%,Janata Dal (United),Islampur,174
2005-Feb,3,Shiv Shankar Paswan,2009,2.70%,Independent,Islampur,174
2005-Feb,4,Raghunandan Prasad,927,1.30%,Bahujan Samaj Party,Islampur,174
2005-Feb,5,Babita Bhushan,918,1.20%,Independent,Islampur,174
2005-Feb,6,Nandlal Chaudhary,633,0.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Islampur,174
2005-Feb,7,Ravindra Ku Chaudhary,599,0.80%,Independent,Islampur,174
2005-Feb,8,Rajendra Prasad,568,0.80%,Independent,Islampur,174
2005-Feb,9,Santi Devi,466,0.60%,Independent,Islampur,174
2005-Feb,10,Ujjawalkant Hunkar,336,0.50%,Independent,Islampur,174
2005-Feb,1,Jitendra Kumar,31387,40.60%,Janata Dal (United),Hilsa,175
2005-Feb,2,Dr. Kumar Pushpanjay,28176,36.40%,Rashtriya Janata Dal,Hilsa,175
2005-Feb,3,Mukesh Kumar,10888,14.10%,Lok Jan Shakti Party,Hilsa,175
2005-Feb,4,Sudhir Pandey,1419,1.80%,Independent,Hilsa,175
2005-Feb,5,Suren Daas,1165,1.50%,Bahujan Samaj Party,Hilsa,175
2005-Feb,6,Krishna Ballabh Prasad Singh,837,1.10%,Independent,Hilsa,175
2005-Feb,7,Sanjay Paswan,721,0.90%,Independent,Hilsa,175
2005-Feb,8,Shailendra Kumar,675,0.90%,Independent,Hilsa,175
2005-Feb,9,Naushad,633,0.80%,Independent,Hilsa,175
2005-Feb,10,Manoj Prasad Singh,494,0.60%,Independent,Hilsa,175
2005-Feb,11,Kiran Devi,402,0.50%,Samajwadi Party,Hilsa,175
2005-Feb,12,Bhushan Singh,327,0.40%,Independent,Hilsa,175
2005-Feb,13,Vidya Sagar Singh,288,0.40%,Independent,Hilsa,175
2005-Feb,1,Dr. Sunil Kumar,74752,58.50%,Janata Dal (United),Nalanda,176
2005-Feb,2,Syed Naushadan Nabi,42939,33.60%,Rashtriya Janata Dal,Nalanda,176
2005-Feb,3,Jageshar Yadav,3857,3.00%,Lok Jan Shakti Party,Nalanda,176
2005-Feb,4,Hira Lal Sao,1483,1.20%,Independent,Nalanda,176
2005-Feb,5,Rajesh Kumar,1314,1.00%,Samata Party,Nalanda,176
2005-Feb,6,Md. Himayoon Ansari,1220,1.00%,Bahujan Samaj Party,Nalanda,176
2005-Feb,7,Manoj Kumar,700,0.60%,Independent,Nalanda,176
2005-Feb,8,Anil Kumar,619,0.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Nalanda,176
2005-Feb,9,Afrin Sultana,513,0.40%,Independent,Nalanda,176
2005-Feb,10,Bhushan Mahto,338,0.30%,Apna Dal,Nalanda,176
2005-Feb,1,Satyadeo Narain Arya,29324,41.60%,Bharatiya Janta Party,Harnaut,177
2005-Feb,2,Arjun Paswan Alias Ajay Paswan,19614,27.80%,Communist Party Of India,Harnaut,177
2005-Feb,3,Anil Rai,12155,17.30%,Lok Jan Shakti Party,Harnaut,177
2005-Feb,4,Shiv Kumar Paswan,1487,2.10%,Independent,Harnaut,177
2005-Feb,5,Reshmi Devi,1342,1.90%,Bahujan Samaj Party,Harnaut,177
2005-Feb,6,Dukhan Das,1321,1.90%,Independent,Harnaut,177
2005-Feb,7,Dinesh Chaudhary,1242,1.80%,Independent,Harnaut,177
2005-Feb,8,Gayatri Devi,1129,1.60%,Jai Jawan Jai Kisan Mazdoor Congress,Harnaut,177
2005-Feb,9,Tarni Kumar,681,1.00%,Independent,Harnaut,177
2005-Feb,10,Jai Ram Manjhi,543,0.80%,Samata Party,Harnaut,177
2005-Feb,11,Ram Bilas Manjhi,467,0.70%,Independent,Harnaut,177
2005-Feb,12,Baldeo Das,388,0.60%,Akhil Bharat Hindu Mahasabha,Harnaut,177
2005-Feb,13,Shailendra Kumar,304,0.40%,Samajwadi Party,Harnaut,177
2005-Feb,14,Surendra Kumar Arya,240,0.30%,Apna Dal,Harnaut,177
2005-Feb,15,Jageshwar Rabidas,238,0.30%,Independent,Harnaut,177
2005-Feb,1,Sharwan Kumar (VILL-BEN),33115,39.10%,Janata Dal (United),Mokama,178
2005-Feb,2,Ram Naresh Singh,27045,32.00%,All India Forward Bloc (Subhasist),Mokama,178
2005-Feb,3,Sharwan Kumar Vill-(KHADDI),13527,16.00%,Rashtriya Janata Dal,Mokama,178
2005-Feb,4,Anil Kumar,3048,3.60%,Indian National Congress,Mokama,178
2005-Feb,5,Ajit Kumar,1355,1.60%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Mokama,178
2005-Feb,6,Shiv Shankar Prasad,1169,1.40%,Bahujan Samaj Party,Mokama,178
2005-Feb,7,Shiv Kumar Prasad,1012,1.20%,Independent,Mokama,178
2005-Feb,8,Ashok Kumar,862,1.00%,Independent,Mokama,178
2005-Feb,9,Surendra Kumar,809,1.00%,Independent,Mokama,178
2005-Feb,10,Shiv Kumar Mandal,491,0.60%,Independent,Mokama,178
2005-Feb,11,Ramkeshwar Prasad,424,0.50%,Shiv Sena,Mokama,178
2005-Feb,12,Ram Piyare Prasad,417,0.50%,Apna Dal,Mokama,178
2005-Feb,13,Satish Mahto,406,0.50%,Independent,Mokama,178
2005-Feb,14,Ajay Kumar,325,0.40%,Independent,Mokama,178
2005-Feb,15,Arvind Kumar,313,0.40%,Independent,Mokama,178
2005-Feb,16,Raj Kumar Paswan,311,0.40%,Independent,Mokama,178
2005-Feb,1,Ramswaroop Prasad,40749,42.30%,Janata Dal (United),Barh,179
2005-Feb,2,Rakesh Kumar Roshan,20689,21.50%,Communist Party Of India,Barh,179
2005-Feb,3,Naresh Kumar Yadav,8779,9.10%,Independent,Barh,179
2005-Feb,4,Birendra Prasad,7736,8.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Barh,179
2005-Feb,5,Dilip Chaudhary,6600,6.90%,Lok Jan Shakti Party,Barh,179
2005-Feb,6,Md. Sahabudin,3759,3.90%,Bahujan Samaj Party,Barh,179
2005-Feb,7,Shivanand Singh,2191,2.30%,Independent,Barh,179
2005-Feb,8,Bharat Prasad Singh,1770,1.80%,Independent,Barh,179
2005-Feb,9,Vidya Paswan,1604,1.70%,Independent,Barh,179
2005-Feb,10,Satendra Sao,808,0.80%,Bharatiya Momin Front,Barh,179
2005-Feb,11,Chandrika Paswan,640,0.70%,Independent,Barh,179
2005-Feb,12,Surendra Prasad,554,0.60%,Samajwadi Jan Parishad,Barh,179
2005-Feb,13,Ajay Kumar,460,0.50%,Apna Dal,Barh,179
2005-Feb,1,Ramcharitra Prasad Singh,34698,38.60%,Janata Dal (United),Bakhtiarpur,180
2005-Feb,2,Rajesh Kumar Singh Alias Raju Yadav,28526,31.70%,Rashtriya Janata Dal,Bakhtiarpur,180
2005-Feb,3,Kumar Suman Singh,11918,13.20%,Lok Jan Shakti Party,Bakhtiarpur,180
2005-Feb,4,Mithlesh Yadav,4945,5.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bakhtiarpur,180
2005-Feb,5,Vijay Kumar Yadav,2219,2.50%,Bahujan Samaj Party,Bakhtiarpur,180
